"P0_Ab","P3_cm","P3_wt","IGH","IGL","P0_Ab_Ratio","P3_cm_Ratio","P3_wt_Ratio","P3_cmR","P3_wtR"
96,64,92,"IGHV3-7","IGLV2-11",0.000405902498837258,0.000270601665891506,0.000388989894719039,0.666666666666667,0.958333333333333
532,87,68,"IGHV5-51","IGKV1-6",0.00370308497605524,0.000605579685933846,0.00047332665107473,0.163533834586466,0.12781954887218
202,71,82,"IGHV4-61","IGKV1-9",0.00161557348859901,0.00056785008757688,0.000655826861708509,0.351485148514851,0.405940594059406
171,109,43,"IGHV3-74","IGKV4-1",0.000723013826053867,0.000460868462221471,0.000181810494270855,0.637426900584795,0.251461988304094
649,46,105,"IGHV4-34","IGKV1-39",0.00451748524334558,0.000320191558079964,0.000730872034747745,0.0708782742681048,0.161787365177196
482,77,73,"IGHV3-23","IGKV1-17",0.00385498228467685,0.000615837418921405,0.000583845864691721,0.159751037344398,0.151452282157676
290,72,77,"IGHV1-2","IGKV3-11",0.00122616379857088,0.000304426874127944,0.000325567629275718,0.248275862068966,0.26551724137931
53,50,99,"IGHV3-15","IGLV6-57",0.000368916360396481,0.000348034302260831,0.000689107918476445,0.943396226415094,1.86792452830189
193,20,128,"IGHV3-7","IGLV3-21",0.00154359249158222,0.000159957771148417,0.00102372973534987,0.103626943005181,0.663212435233161
98,65,83,"IGHV3-72","IGLV2-8",0.000414358800896368,0.00027482981692106,0.000350936535453046,0.663265306122449,0.846938775510204
842,76,71,"IGHV5-51","IGKV2-30",0.00586089765007239,0.000529012139436463,0.00049420870921038,0.0902612826603325,0.0843230403800475
711,53,94,"IGHV3-23","IGKV3-20",0.00568649876432622,0.000423888093543305,0.000751801524397559,0.0745428973277075,0.132208157524613
396,34,112,"IGHV3-21","IGKV1-39",0.00167434780770369,0.000143757135004862,0.000473552915310135,0.0858585858585859,0.282828282828283
511,50,95,"IGHV5-51","IGLV1-51",0.00355691056910569,0.000348034302260831,0.000661265174295579,0.0978473581213307,0.185909980430528
33,60,85,"IGHV3-9","IGLV6-57",0.000263930322394888,0.00047987331344525,0.000679820527380771,1.81818181818182,2.57575757575758
350,67,77,"IGHV3-30","IGLV2-14",0.00147985286034417,0.00028328611898017,0.000325567629275718,0.191428571428571,0.22
158,15,128,"IGHV4-4","IGKV1-27",0.00109978839514423,0.000104410290678249,0.000890967813787727,0.0949367088607595,0.810126582278481
1344,28,114,"IGHV5-51","IGLV3-21",0.0107491622211736,0.000223940879607784,0.000911759295545976,0.0208333333333333,0.0848214285714286
777,67,74,"IGHV4-30-4","IGLV2-23",0.00328527334996406,0.00028328611898017,0.000312883176187053,0.0862290862290862,0.0952380952380952
76,49,92,"IGHV3-72","IGLV1-44",0.000529012139436463,0.000341073616215614,0.000640383116159929,0.644736842105263,1.21052631578947
1041,52,88,"IGHV1-46","IGKV1-39",0.0083258019882751,0.000415890204985884,0.000703814193053034,0.0499519692603266,0.0845341018251681
708,60,80,"IGHV4-61","IGLV1-44",0.00299353092892478,0.000253689061773287,0.000338252082364382,0.0847457627118644,0.112994350282486
143,68,72,"IGHV3-9","IGLV1-44",0.000995378104465976,0.00047332665107473,0.000501169395255596,0.475524475524476,0.503496503496503
79,61,78,"IGHV3-15","IGLV1-40",0.000631833196036246,0.000487871202002671,0.000623835307478826,0.772151898734177,0.987341772151899
149,72,61,"IGHV1-8","IGKV2-30",0.000629994503403662,0.000304426874127944,0.000257917212802841,0.483221476510067,0.409395973154362
202,110,22,"IGHV7-4-1","IGKV3-11",0.00140605858113376,0.000765675464973828,0.000153135092994766,0.544554455445545,0.108910891089109
273,85,45,"IGHV1-2","IGKV4-1",0.00218342357617589,0.000679820527380771,0.000359904985083938,0.311355311355311,0.164835164835165
120,72,53,"IGHV5-10-1","IGLV2-8",0.000507378123546573,0.000304426874127944,0.000224092004566403,0.6,0.441666666666667
534,36,89,"IGHV3-23","IGKV1-12",0.00371700634814567,0.000250584697627798,0.000619501058024279,0.0674157303370786,0.166666666666667
18,117,7,"IGHV1-8","IGKV3D-20",0.000143961994033575,0.000935752961218238,5.59852199019459e-05,6.5,0.388888888888889
314,52,71,"IGHV3-74","IGLV1-44",0.0013276394232802,0.000219863853536848,0.000300198723098389,0.165605095541401,0.226114649681529
668,78,44,"IGHV4-59","IGKV4-1",0.0046497382782047,0.000542933511526896,0.000306270185989531,0.116766467065868,0.0658682634730539
21,4,118,"IGHV4-4","IGKV1-NL1",0.000167955659705838,3.19915542296834e-05,0.000943750849775659,0.19047619047619,5.61904761904762
